Assembly Part,Description,SC,Rev,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Description,SC,Rev,S/UOM,P/UOM,Item#,Qty,Option Flag,Product#,Product Price,Effective Date/Rev,Inactive Date/Rev,Reference
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00043 , , , , , , , , , , , , , , , , , ,"0.33uF,16V,X7R,0805,10%",P, -,EA,EA,3,4,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00048 , , , , , , , , , , , , , , , , , ,"2200pF,16V,X7R,0201,10%",P, -,EA,EA,4,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00091 , , , , , , , , , , , , , , , , , ,"0.1uF,25V,X5R,0603,10%",P, -,EA,EA,5,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00095 , , , , , , , , , , , , , , , , , ,"0.1uF,6.3V,X5R,0201,10%",P, -,EA,EA,6,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00124 , , , , , , , , , , , , , , , , , ,"22UF,25V,X5R,0805,20%",P, -,EA,EA,7,5,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00138 , , , , , , , , , , , , , , , , , ,"0,0.063W,5%,0402",P, -,EA,EA,8,3,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00206 , , , , , , , , , , , , , , , , , ,"2K,0.063W,1%,0402",P, -,EA,EA,9,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00242 , , , , , , , , , , , , , , , , , ,"4.7K,0.063W,5%,0402",P, -,EA,EA,10,4,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00250 , , , , , , , , , , , , , , , , , ,"270,0.063W,5%,0402",P, -,EA,EA,11,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00301 , , , , , , , , , , , , , , , , , ,"23.7K,0.063W,1%,0402",P, -,EA,EA,12,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50013-00339 , , , , , , , , , , , , , , , , , ,"Shrd HDR,2mm,2x12,VRT,TH,30Au",P, -,EA,EA,13,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50013-00395 , , , , , , , , , , , , , , , , , ,"PWR CONN,0.1"",2X25,VRT,TH,30AU",P, -,EA,EA,14,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50033-00063 , , , , , , , , , , , , , , , , , ,"3-14.4VDC to .45-5.5VDC,3A,Dig",P, -,EA,EA,15,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,40005-00147-00 , , , , , , , , , , , , , , , , , , ,"CABLE ASSY, PWR, CRPS,SHORT",M, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50012-00018 , , , , , , , , , , , , , , , , , ,"Wire,14AWG,BLK,UL1569",F, -,FT,FT,0,0,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50012-00019 , , , , , , , , , , , , , , , , , ,"Wire,14AWG,RED,UL1569",F, -,FT,FT,0,0,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50013-00271 , , , , , , , , , , , , , , , , , ,"RCPT HSG,10mm,1x2,50A",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50013-00308 , , , , , , , , , , , , , , , , , ,"Crimp SKT,14-16AWG,50A,30Au",F, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, ,30001-00058-04 , , , , , , , , , , , , , , , , , , , ,"PCA,C1UD,DISTRIBUTION",SI, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,40003-00058-04 , , , , , , , , , , , , , , , , , , ,"PCB,C1UD,Distribution",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50007-00024 , , , , , , , , , , , , , , , , , , ,"TVS,12.0V,13.3V,75.3A,SMC403",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00043 , , , , , , , , , , , , , , , , , , ,"0.33uF,16V,X7R,0805,10%",P, -,EA,EA,0,6,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00086 , , , , , , , , , , , , , , , , , , ,"22uF,16V,X5R,1210,10%",P, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00261 , , , , , , , , , , , , , , , , , , ,"PCB HDR,0.2"",2P,RA,TH,Sn",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00333 , , , , , , , , , , , , , , , , , , ,"SKT,0.635mm,2x26P,RA,SMT,10Au",P, -,EA,EA,0,3,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50013-00339 , , , , , , , , , , , , , , , , , , ,"Shrd HDR,2mm,2x12,VRT,TH,30Au",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, ,30001-00106-03 , , , , , , , , , , , , , , , , , , , ,"PCA,CMD, COMMAND",SI,  ,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,40003-00106-03 , , , , , , , , , , , , , , , , , , ,"PCB,CMD,COMMAND",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50002-00081 , , , , , , , , , , , , , , , , , , ,"1:2 Clk/Div,3mmSQ,QFN16EP",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50002-00082 , , , , , , , , , , , , , , , , , , ,"1:3 Clk/Div,3mmSQ,QFN16EP",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50003-00089 , , , , , , , , , , , , , , , , , , ,"I2C EEPROM,2K,1.8-5.5V,SOIC8",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50003-00090 , , , , , , , , , , , , , , , , , , ,"I2C EEPROM Dip Sw,6bit,TSSOP20",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50003-00097 , , , , , , , , , , , , , , , , , , ,"I2C EEPROM,512K,1.8-5.5V,SOIC8",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50003-00099 , , , , , , , , , , , , , , , , , , ,"4G DDR4,2400,256X16,FBGA96",P, -,EA,EA,0,3,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50004-00217 , , , , , , , , , , , , , , , , , , ,"Actel,A3P1000,FGG144,Std",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50004-00235 , , , , , , , , , , , , , , , , , , ,"ARRIA10,10AX016E,FBGA780,4/3",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00087 , , , , , , , , , , , , , , , , , , ,"3-diode temp sensor,QSOP16",P, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00195 , , , , , , , , , , , , , , , , , , ,"Dual RS232 XCVR,TSSOP20",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00201 , , , , , , , , , , , , , , , , , , ,"1.5A Bus Term Reg,PSOP8",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00206 , , , , , , , , , , , , , , , , , , ,"2.2-20 to 1.2-20VDC,1.5A,SOIC8",P, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00244 , , , , , , , , , , , , , , , , , , ,"USB/UART BRIDGE,QFN24",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00245 , , , , , , , , , , , , , , , , , , ,"RTC/CAL,XTAL,TCHRG,I2C",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00246 , , , , , , , , , , , , , , , , , , ,"GBE SW,6-PORT,GMII,128TQFP-EP",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50005-00247 , , , , , , , , , , , , , , , , , , ,"3A SNK/SRC DDR TERM REG,VSON10",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50006-00033 , , , , , , , , , , , , , , , , , , ,"LED,RA,GRN,35.0mcd,0603,130deg",PR, -,EA,EA,0,5,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50006-00034 , , , , , , , , , , , , , , , , , , ,"LED,RA,RED,54.0mcd,0603,130deg",PR, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50006-00035 , , , , , , , , , , , , , , , , , , ,"LED,RA,ORN,90.0mcd,0603,130deg",PR, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50007-00024 , , , , , , , , , , , , , , , , , , ,"TVS,12.0V,13.3V,75.3A,SMC403",P, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50007-00026 , , , , , , , , , , , , , , , , , , ,"nMOSFET,25V,680mA,SOT23-3",P, -,EA,EA,0,3,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50007-00029 , , , , , , , , , , , , , , , , , , ,"TVS,5.0V,11.6V,9.4A,SOD523",P, -,EA,EA,0,3,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50007-00030 , , , , , , , , , , , , , , , , , , ,"FASTSW DIODE,SMA,1N4148,SOD123",P, -,EA,EA,0,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00043 , , , , , , , , , , , , , , , , , , ,"0.33uF,16V,X7R,0805,10%",P, -,EA,EA,0,73,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00048 , , , , , , , , , , , , , , , , , , ,"2200pF,16V,X7R,0201,10%",P, -,EA,EA,0,86,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,50008-00049 , , , , , , , , , , , , , , , , , , ,"15000pF,10V,X7R,0402,10%",P, -,EA,EA,0,51,No ,,,01/01/1900,12/31/2099,
